82,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#95
83,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#95
84,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#95
85,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#95
86,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#95
87,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#95
90,fully covered,"org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124x5, 143x3"
93,fully covered,"org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124x5, 143x3"
96,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
97,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
99,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
100,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
102,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
106,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
107,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
108,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
109,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
110,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
111,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
112,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
113,fully covered,org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124
117,fully covered,"org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124x4, 143x3"
118,fully covered,"org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124x4, 143x3"
119,fully covered,"org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124x4, 143x3"
120,fully covered,"org.apache.http.impl.client.cache.TestHttpCacheJiraNumber1147#testIssue1147#124x4, 143x3"
