Commit_hash,Date,Author,File,Attribution,ID
6920b3882370ce458ee3b6c5c12088aa72276851,2012/05/06,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/client/entity/UrlEncodedFormEntity.java,production,474
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/protocol/ResponseContentEncoding.java,production,519
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/impl/client/CompressionDecorator.java,production,695
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/impl/client/ContentEncodingHttpClient.java,production,696
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/ClientProtocolException.java,test,441
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/HttpClient.java,test,446
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/ResponseHandler.java,test,454
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/methods/HttpUriRequest.java,test,492
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/conn/ClientConnectionManager.java,test,536
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/impl/conn/SingleClientConnManager.java,test,827
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/HttpClient.java,test,446
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/ResponseHandler.java,test,454
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/methods/HttpGet.java,test,483
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/client/methods/HttpUriRequest.java,test,492
54c7e992fbd6df5e102fe97558f90355f0d5342d,2012/03/16,Jonathan Moore,httpclient/src/main/java/org/apache/http/conn/ClientConnectionManager.java,test,536
d87d45a618d864b18a534633cf938f29453e350d,2012/02/15,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/client/utils/URIUtils.java,production,530
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/scheme/LayeredSchemeSocketFactory.java,production,582
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/scheme/LayeredSchemeSocketFactoryAdaptor.java,production,583
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/scheme/Scheme.java,production,587
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/scheme/SchemeLayeredSocketFactory.java,production,588
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/scheme/SchemeLayeredSocketFactoryAdaptor.java,production,589
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/scheme/SchemeLayeredSocketFactoryAdaptor2.java,production,590
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/conn/ssl/SSLSocketFactory.java,production,617
39117086b38e9805f2b39e953d52ff018f293d39,2012/02/05,Oleg Kalnichevski,httpclient/src/main/java/org/apache/http/impl/conn/DefaultClientConnectionOperator.java,production,799
